item_id,order_id,item_name,quantity,unit_price,item_total
ITEM_0000068,ORD_010290,Wrap,3,70.36,211.07999999999998
ITEM_0000069,ORD_019285,Pasta,3,60.65,181.95
ITEM_0000070,ORD_017357,Pizza,3,20.08,60.239999999999995
ITEM_0000071,ORD_016484,Burger,3,40.32,120.96000000000001
ITEM_0000072,ORD_020094,Pizza,2,16.03,32.06
ITEM_0000073,ORD_019107,Burger,3,37.41,112.22999999999999
ITEM_0000074,ORD_015479,Biryani,3,69.06,207.18
ITEM_0000075,ORD_016496,Burger,1,16.56,16.56
ITEM_0000076,ORD_014407,Salad,2,57.94,115.88
ITEM_0000077,ORD_000981,Salad,2,25.99,51.98
ITEM_0000078,ORD_017625,Pasta,3,78.22,234.66
ITEM_0000079,ORD_022620,Pasta,2,65.55,131.1
ITEM_0000080,ORD_023905,Biryani,2,36.01,72.02
ITEM_0000081,ORD_007120,Salad,2,10.17,20.34
ITEM_0000082,ORD_014277,Burger,3,32.56,97.68
ITEM_0000083,ORD_007858,Wrap,3,32.27,96.81
ITEM_0000084,ORD_007893,Biryani,2,44.77,89.54
ITEM_0000085,ORD_017527,Salad,1,70.38,70.38
ITEM_0000086,ORD_015710,Salad,1,38.38,38.38
ITEM_0000087,ORD_005035,Biryani,1,41.41,41.41
ITEM_0000088,ORD_014289,Salad,3,53.98,161.94
ITEM_0000089,ORD_007074,Wrap,2,36.56,73.12
ITEM_0000090,ORD_023298,Pizza,1,52.78,52.78
ITEM_0000091,ORD_018976,Salad,2,15.16,30.32
ITEM_0000092,ORD_021200,Salad,2,78.84,157.68
ITEM_0000093,ORD_013635,Wrap,1,75.28,75.28
ITEM_0000094,ORD_024900,Salad,3,49.91,149.73
ITEM_0000095,ORD_012676,Pasta,2,52.19,104.38
ITEM_0000096,ORD_010328,Burger,3,46.9,140.7
ITEM_0000097,ORD_003241,Pasta,3,27.71,83.13
ITEM_0000098,ORD_007303,Pasta,2,27.59,55.18
ITEM_0000099,ORD_019443,Salad,1,78.24,78.24
ITEM_0000100,ORD_002271,Salad,3,48.11,144.32999999999998
ITEM_0000101,ORD_008191,Pizza,3,37.64,112.92
ITEM_0000102,ORD_011104,Salad,3,36.04,108.12
ITEM_0000103,ORD_019911,Pasta,1,62.9,62.9
ITEM_0000104,ORD_007027,Pizza,1,61.18,61.18
ITEM_0000105,ORD_006072,Burger,3,77.29,231.87
ITEM_0000106,ORD_000225,Salad,1,29.14,29.14
ITEM_0000107,ORD_014687,Pizza,2,72.54,145.08
ITEM_0000108,ORD_007613,Salad,3,79.89,239.67000000000002
ITEM_0000109,ORD_016502,Wrap,1,51.26,51.26
ITEM_0000110,ORD_006215,Wrap,2,67.25,134.5
ITEM_0000111,ORD_006098,Biryani,3,19.06,57.17999999999999
ITEM_0000112,ORD_012942,Burger,3,54.09,162.27
ITEM_0000113,ORD_017139,Pasta,2,60.29,120.58
ITEM_0000114,ORD_000942,Salad,1,67.5,67.5
ITEM_0000115,ORD_024641,Pizza,3,24.13,72.39
ITEM_0000116,ORD_019302,Salad,2,51.67,103.34
ITEM_0000117,ORD_016692,Burger,2,37.33,74.66
ITEM_0000118,ORD_016339,Salad,3,57.84,173.52
ITEM_0000119,ORD_014101,Wrap,2,26.42,52.84
ITEM_0000120,ORD_020143,Salad,1,22.68,22.68
ITEM_0000121,ORD_018759,Pasta,3,20.74,62.22
ITEM_0000122,ORD_005761,Salad,2,44.87,89.74
ITEM_0000123,ORD_024841,Burger,3,25.7,77.1
ITEM_0000124,ORD_000183,Salad,1,22.35,22.35
ITEM_0000125,ORD_021916,Salad,1,56.38,56.38
ITEM_0000126,ORD_007642,Pizza,1,77.13,77.13
ITEM_0000127,ORD_008310,Burger,1,66.32,66.32
ITEM_0000128,ORD_017144,Burger,1,13.1,13.1
ITEM_0000129,ORD_022658,Pizza,3,75.03,225.09
ITEM_0000130,ORD_018682,Pasta,1,26.59,26.59
ITEM_0000131,ORD_021519,Pasta,3,61.27,183.81
ITEM_0000132,ORD_007525,Pizza,1,74.35,74.35
ITEM_0000133,ORD_004802,Biryani,1,14.96,14.96
ITEM_0000134,ORD_011455,Salad,2,79.56,159.12
ITEM_0000135,ORD_002293,Pasta,2,17.78,35.56
ITEM_0000136,ORD_000086,Burger,2,50.82,101.64
ITEM_0000137,ORD_019516,Burger,1,16.23,16.23
ITEM_0000138,ORD_018838,Pizza,2,53.65,107.3
ITEM_0000139,ORD_009025,Biryani,2,49.81,99.62
ITEM_0000140,ORD_015528,Wrap,2,71.04,142.08
ITEM_0000141,ORD_005002,Salad,3,19.19,57.57000000000001
ITEM_0000142,ORD_012398,Pizza,2,10.98,21.96
ITEM_0000143,ORD_023190,Wrap,3,29.65,88.94999999999999
ITEM_0000144,ORD_000189,Pizza,2,31.0,62.0
ITEM_0000145,ORD_024435,Pasta,2,43.45,86.9
ITEM_0000146,ORD_001777,Wrap,3,28.4,85.19999999999999
ITEM_0000147,ORD_016761,Biryani,3,31.98,95.94
ITEM_0000148,ORD_005916,Pizza,2,22.52,45.04
ITEM_0000149,ORD_008169,Pasta,3,77.55,232.64999999999998
ITEM_0000150,ORD_022933,Biryani,2,44.53,89.06
ITEM_0000151,ORD_010720,Salad,2,63.21,126.42
ITEM_0000152,ORD_020231,Biryani,3,49.59,148.77
ITEM_0000153,ORD_017340,Salad,2,68.11,136.22
ITEM_0000154,ORD_011086,Salad,1,65.84,65.84
ITEM_0000155,ORD_015617,Biryani,3,31.83,95.49
ITEM_0000156,ORD_000672,Wrap,2,18.02,36.04
ITEM_0000157,ORD_007131,Biryani,3,78.09,234.27
ITEM_0000158,ORD_011624,Wrap,1,74.78,74.78
ITEM_0000159,ORD_008126,Biryani,2,48.09,96.18
ITEM_0000160,ORD_007997,Biryani,3,62.81,188.43
ITEM_0000161,ORD_015628,Burger,3,51.87,155.60999999999999
ITEM_0000162,ORD_001595,Burger,2,46.04,92.08
ITEM_0000163,ORD_024134,Burger,1,64.65,64.65
ITEM_0000164,ORD_020224,Burger,1,56.24,56.24
ITEM_0000165,ORD_004872,Pizza,1,52.45,52.45
ITEM_0000166,ORD_010190,Pizza,3,44.89,134.67000000000002
ITEM_0000167,ORD_009509,Salad,1,63.68,63.68
ITEM_0000168,ORD_021557,Salad,2,75.16,150.32
ITEM_0000169,ORD_017538,Pasta,1,12.07,12.07
ITEM_0000170,ORD_018208,Burger,1,56.06,56.06
ITEM_0000171,ORD_013754,Pizza,1,78.31,78.31
ITEM_0000172,ORD_020139,Salad,2,25.43,50.86
ITEM_0000173,ORD_006218,Biryani,1,58.24,58.24
ITEM_0000174,ORD_001683,Pasta,2,12.29,24.58
ITEM_0000175,ORD_011631,Burger,3,26.57,79.71000000000001
ITEM_0000176,ORD_016377,Biryani,1,29.37,29.37
ITEM_0000177,ORD_004183,Pasta,2,67.6,135.2
ITEM_0000178,ORD_012067,Burger,1,48.87,48.87
ITEM_0000179,ORD_024411,Burger,1,58.59,58.59
ITEM_0000180,ORD_014417,Pizza,2,61.12,122.24
ITEM_0000181,ORD_008266,Salad,3,40.59,121.77000000000001
ITEM_0000182,ORD_003272,Burger,2,11.29,22.58
ITEM_0000183,ORD_005288,Pasta,1,67.52,67.52
ITEM_0000184,ORD_012756,Pizza,2,65.56,131.12
ITEM_0000185,ORD_010267,Biryani,1,23.61,23.61
ITEM_0000186,ORD_008401,Salad,3,16.67,50.010000000000005
ITEM_0000187,ORD_010806,Wrap,3,60.86,182.57999999999998
ITEM_0000188,ORD_000081,Pasta,1,11.79,11.79
ITEM_0000189,ORD_024563,Wrap,2,30.67,61.34
ITEM_0000190,ORD_001477,Wrap,1,66.02,66.02
ITEM_0000191,ORD_020303,Biryani,2,48.63,97.26
ITEM_0000192,ORD_019581,Pasta,1,77.26,77.26
ITEM_0000193,ORD_024091,Pizza,1,10.46,10.46
ITEM_0000194,ORD_015200,Wrap,2,77.54,155.08
ITEM_0000195,ORD_006051,Pizza,2,62.84,125.68
ITEM_0000196,ORD_010590,Pizza,1,48.48,48.48
ITEM_0000197,ORD_012357,Biryani,2,46.13,92.26
ITEM_0000198,ORD_010022,Wrap,1,30.37,30.37
ITEM_0000199,ORD_012168,Biryani,3,65.56,196.68
ITEM_0000200,ORD_007947,Burger,3,30.35,91.05000000000001
ITEM_0000201,ORD_009093,Burger,2,31.03,62.06
ITEM_0000202,ORD_007334,Biryani,3,58.02,174.06
ITEM_0000203,ORD_008506,Pizza,1,18.45,18.45
ITEM_0000204,ORD_024074,Biryani,3,37.19,111.57
ITEM_0000205,ORD_012175,Burger,2,68.34,136.68
ITEM_0000206,ORD_021450,Burger,2,13.18,26.36
ITEM_0000207,ORD_013676,Burger,3,33.96,101.88
ITEM_0000208,ORD_005969,Wrap,3,11.26,33.78
ITEM_0000209,ORD_013723,Salad,1,17.62,17.62
ITEM_0000210,ORD_022829,Pasta,1,52.34,52.34
ITEM_0000211,ORD_002323,Pizza,2,39.17,78.34
ITEM_0000212,ORD_009943,Wrap,1,53.92,53.92
ITEM_0000213,ORD_001136,Pizza,1,49.61,49.61
ITEM_0000214,ORD_011321,Biryani,3,34.07,102.21000000000001
ITEM_0000215,ORD_022389,Biryani,3,22.99,68.97
ITEM_0000216,ORD_022799,Burger,3,68.33,204.99
ITEM_0000217,ORD_001122,Salad,3,37.06,111.18
ITEM_0000218,ORD_021865,Pizza,2,39.17,78.34
ITEM_0000219,ORD_013106,Salad,3,66.97,200.91
ITEM_0000220,ORD_022218,Pizza,1,41.76,41.76
ITEM_0000221,ORD_024958,Burger,2,28.11,56.22
ITEM_0000222,ORD_009618,Pasta,3,54.5,163.5
ITEM_0000223,ORD_004596,Pizza,2,37.7,75.4
ITEM_0000224,ORD_023000,Biryani,1,34.89,34.89
ITEM_0000225,ORD_015515,Salad,1,62.99,62.99
ITEM_0000226,ORD_017641,Pizza,1,35.52,35.52
ITEM_0000227,ORD_009376,Pizza,2,43.94,87.88
ITEM_0000228,ORD_006412,Pasta,3,15.38,46.14
ITEM_0000229,ORD_006580,Wrap,1,31.14,31.14
ITEM_0000230,ORD_023633,Biryani,3,77.58,232.74
ITEM_0000231,ORD_009777,Wrap,1,53.85,53.85
ITEM_0000232,ORD_019897,Pasta,3,48.2,144.60000000000002
ITEM_0000233,ORD_019947,Biryani,3,38.52,115.56
ITEM_0000234,ORD_022020,Burger,3,46.53,139.59
ITEM_0000235,ORD_024664,Salad,2,73.52,147.04
ITEM_0000236,ORD_001105,Biryani,1,54.75,54.75
ITEM_0000237,ORD_008800,Biryani,2,64.71,129.42
ITEM_0000238,ORD_024284,Wrap,3,30.05,90.15
ITEM_0000239,ORD_002850,Burger,3,40.71,122.13
ITEM_0000240,ORD_006156,Salad,1,21.19,21.19
ITEM_0000241,ORD_019974,Pasta,2,11.75,23.5
ITEM_0000242,ORD_002454,Burger,1,70.22,70.22
ITEM_0000243,ORD_004584,Biryani,1,31.75,31.75
ITEM_0000244,ORD_003533,Wrap,3,49.53,148.59
ITEM_0000245,ORD_003820,Pizza,1,46.16,46.16
ITEM_0000246,ORD_024752,Pasta,1,15.02,15.02
ITEM_0000247,ORD_008969,Wrap,2,28.47,56.94
ITEM_0000248,ORD_009536,Wrap,1,25.33,25.33
ITEM_0000249,ORD_018854,Burger,1,68.48,68.48
ITEM_0000250,ORD_007165,Pizza,3,58.39,175.17000000000002
ITEM_0000251,ORD_019735,Wrap,1,38.98,38.98
ITEM_0000252,ORD_015905,Pizza,3,70.28,210.84
ITEM_0000253,ORD_003294,Burger,2,56.92,113.84
ITEM_0000254,ORD_001896,Pizza,3,69.05,207.14999999999998
ITEM_0000255,ORD_003214,Pizza,2,32.65,65.3
ITEM_0000256,ORD_021764,Salad,2,26.53,53.06
ITEM_0000257,ORD_012225,Salad,1,74.26,74.26
ITEM_0000258,ORD_017328,Burger,3,24.13,72.39
ITEM_0000259,ORD_009535,Wrap,3,47.73,143.19
ITEM_0000260,ORD_001863,Pizza,3,66.36,199.07999999999998
ITEM_0000261,ORD_006765,Biryani,1,59.94,59.94
ITEM_0000262,ORD_023568,Pizza,2,50.6,101.2
ITEM_0000263,ORD_004399,Biryani,2,48.37,96.74
ITEM_0000264,ORD_006998,Salad,2,56.93,113.86
ITEM_0000265,ORD_019610,Pizza,2,54.06,108.12
ITEM_0000266,ORD_010135,Wrap,2,77.93,155.86
ITEM_0000267,ORD_022564,Wrap,1,35.3,35.3
ITEM_0000268,ORD_011990,Wrap,2,64.91,129.82
ITEM_0000269,ORD_004348,Burger,2,21.33,42.66
ITEM_0000270,ORD_002299,Pasta,3,26.33,78.99
ITEM_0000271,ORD_010232,Biryani,1,38.75,38.75
ITEM_0000272,ORD_021752,Salad,1,39.25,39.25
ITEM_0000273,ORD_006201,Pizza,1,73.66,73.66
ITEM_0000274,ORD_017828,Salad,1,79.11,79.11
ITEM_0000275,ORD_010115,Salad,3,10.68,32.04
ITEM_0000276,ORD_022949,Pasta,2,41.79,83.58
ITEM_0000277,ORD_018482,Pasta,2,59.96,119.92
ITEM_0000278,ORD_020143,Burger,1,22.1,22.1
ITEM_0000279,ORD_020206,Salad,1,39.33,39.33
ITEM_0000280,ORD_012522,Pizza,2,31.59,63.18
ITEM_0000281,ORD_017422,Pasta,3,46.86,140.57999999999998
ITEM_0000282,ORD_016341,Pizza,2,41.25,82.5
ITEM_0000283,ORD_005302,Burger,3,17.64,52.92
ITEM_0000284,ORD_013226,Biryani,2,29.78,59.56
ITEM_0000285,ORD_001602,Wrap,1,32.71,32.71
ITEM_0000286,ORD_011139,Burger,3,37.69,113.07
ITEM_0000287,ORD_016089,Pizza,3,37.1,111.30000000000001
ITEM_0000288,ORD_008348,Pizza,3,49.39,148.17000000000002
ITEM_0000289,ORD_017756,Pizza,3,73.49,220.46999999999997
ITEM_0000290,ORD_019343,Wrap,3,61.66,184.98
ITEM_0000291,ORD_006897,Burger,2,38.05,76.1
ITEM_0000292,ORD_013416,Pasta,3,70.95,212.85000000000002
ITEM_0000293,ORD_022181,Wrap,2,54.4,108.8
ITEM_0000294,ORD_001989,Burger,1,28.85,28.85
ITEM_0000295,ORD_001711,Salad,1,50.09,50.09
ITEM_0000296,ORD_013277,Pasta,3,72.24,216.71999999999997
ITEM_0000297,ORD_018253,Pasta,3,59.99,179.97
ITEM_0000298,ORD_002916,Salad,2,41.41,82.82
ITEM_0000299,ORD_011233,Pasta,1,39.59,39.59
ITEM_0000300,ORD_021320,Pizza,2,22.78,45.56
ITEM_0000301,ORD_005943,Wrap,3,59.74,179.22
ITEM_0000302,ORD_007478,Pizza,1,42.15,42.15
ITEM_0000303,ORD_014604,Wrap,2,40.78,81.56
ITEM_0000304,ORD_005152,Wrap,2,23.22,46.44
ITEM_0000305,ORD_003952,Salad,3,25.02,75.06
ITEM_0000306,ORD_002169,Pizza,1,30.49,30.49
ITEM_0000307,ORD_011707,Wrap,3,29.38,88.14
ITEM_0000308,ORD_020057,Salad,3,59.31,177.93
ITEM_0000309,ORD_022487,Salad,1,43.37,43.37
ITEM_0000310,ORD_016494,Biryani,3,52.12,156.35999999999999
ITEM_0000311,ORD_010837,Pizza,1,31.01,31.01
ITEM_0000312,ORD_006465,Salad,1,55.08,55.08
ITEM_0000313,ORD_012309,Biryani,3,26.7,80.1
ITEM_0000314,ORD_010566,Pizza,3,34.48,103.44
ITEM_0000315,ORD_000718,Pizza,3,65.48,196.44
ITEM_0000316,ORD_017933,Pizza,2,50.97,101.94
ITEM_0000317,ORD_009502,Burger,3,56.64,169.92000000000002
ITEM_0000318,ORD_021398,Pasta,2,44.49,88.98
ITEM_0000319,ORD_001083,Pizza,2,45.56,91.12
ITEM_0000320,ORD_011955,Pizza,2,28.83,57.66
ITEM_0000321,ORD_002458,Wrap,3,78.97,236.91
ITEM_0000322,ORD_020736,Pasta,3,54.7,164.10000000000002
ITEM_0000323,ORD_014808,Wrap,1,78.97,78.97
ITEM_0000324,ORD_005014,Burger,3,68.57,205.70999999999998
ITEM_0000325,ORD_022407,Burger,2,79.8,159.6
ITEM_0000326,ORD_009194,Pizza,1,29.65,29.65
ITEM_0000327,ORD_006890,Salad,2,56.3,112.6
ITEM_0000328,ORD_017950,Salad,3,11.53,34.589999999999996
ITEM_0000329,ORD_015794,Burger,1,48.58,48.58
ITEM_0000330,ORD_009573,Wrap,2,17.34,34.68
ITEM_0000331,ORD_011856,Pizza,2,18.04,36.08
ITEM_0000332,ORD_015965,Pasta,3,57.16,171.48
ITEM_0000333,ORD_008831,Burger,3,79.98,239.94
ITEM_0000334,ORD_003651,Biryani,1,38.57,38.57
ITEM_0000335,ORD_015178,Biryani,1,26.12,26.12
ITEM_0000336,ORD_005230,Biryani,1,67.66,67.66
ITEM_0000337,ORD_010916,Burger,3,48.37,145.10999999999999
ITEM_0000338,ORD_021609,Wrap,3,34.17,102.51
ITEM_0000339,ORD_000557,Pasta,1,27.37,27.37
ITEM_0000340,ORD_023270,Biryani,2,16.12,32.24
ITEM_0000341,ORD_023389,Wrap,3,49.42,148.26
ITEM_0000342,ORD_013063,Pasta,1,55.22,55.22
ITEM_0000343,ORD_005374,Salad,1,47.55,47.55
ITEM_0000344,ORD_001523,Wrap,2,75.9,151.8
ITEM_0000345,ORD_012796,Pizza,3,29.26,87.78
ITEM_0000346,ORD_004023,Pasta,3,23.72,71.16
ITEM_0000347,ORD_020657,Biryani,1,72.18,72.18
ITEM_0000348,ORD_016601,Wrap,2,35.41,70.82
ITEM_0000349,ORD_005748,Burger,2,78.41,156.82
ITEM_0000350,ORD_007522,Burger,3,74.39,223.17000000000002
ITEM_0000351,ORD_015525,Biryani,1,18.27,18.27
ITEM_0000352,ORD_006962,Salad,3,27.68,83.03999999999999
ITEM_0000353,ORD_003570,Wrap,3,47.77,143.31
ITEM_0000354,ORD_012243,Biryani,2,62.25,124.5
ITEM_0000355,ORD_007897,Burger,1,17.54,17.54
ITEM_0000356,ORD_019075,Wrap,2,30.23,60.46
ITEM_0000357,ORD_013850,Biryani,2,25.96,51.92
ITEM_0000358,ORD_017712,Wrap,3,69.57,208.70999999999998
ITEM_0000359,ORD_004531,Biryani,2,79.3,158.6
ITEM_0000360,ORD_016100,Wrap,3,58.99,176.97
ITEM_0000361,ORD_002403,Pizza,2,70.63,141.26
ITEM_0000362,ORD_006750,Pizza,1,57.26,57.26
ITEM_0000363,ORD_015541,Salad,2,54.52,109.04
ITEM_0000364,ORD_017685,Wrap,3,78.79,236.37
ITEM_0000365,ORD_014517,Biryani,3,61.15,183.45
ITEM_0000366,ORD_010932,Biryani,2,21.11,42.22
ITEM_0000367,ORD_013357,Pizza,1,30.51,30.51
ITEM_0000368,ORD_001547,Wrap,2,41.23,82.46
ITEM_0000369,ORD_011494,Pizza,2,76.65,153.3
ITEM_0000370,ORD_008845,Burger,2,49.27,98.54
ITEM_0000371,ORD_017553,Pasta,1,68.62,68.62
ITEM_0000372,ORD_016201,Wrap,1,31.82,31.82
ITEM_0000373,ORD_003507,Wrap,2,74.08,148.16
ITEM_0000374,ORD_020588,Biryani,3,34.77,104.31
ITEM_0000375,ORD_016886,Pizza,3,10.25,30.75
ITEM_0000376,ORD_016283,Wrap,1,39.71,39.71
ITEM_0000377,ORD_024207,Biryani,1,19.83,19.83
ITEM_0000378,ORD_017530,Biryani,1,46.37,46.37
ITEM_0000379,ORD_004179,Pasta,3,36.48,109.44
ITEM_0000380,ORD_005085,Biryani,3,56.45,169.35000000000002
ITEM_0000381,ORD_006979,Pizza,1,50.15,50.15
ITEM_0000382,ORD_013895,Pasta,1,12.38,12.38
ITEM_0000383,ORD_010591,Salad,2,22.94,45.88
ITEM_0000384,ORD_004120,Pasta,2,38.04,76.08
ITEM_0000385,ORD_021104,Pasta,3,11.43,34.29
ITEM_0000386,ORD_001451,Salad,3,34.12,102.35999999999999
ITEM_0000387,ORD_022608,Pizza,2,21.63,43.26
ITEM_0000388,ORD_016158,Wrap,2,73.49,146.98
ITEM_0000389,ORD_010419,Wrap,2,36.11,72.22
ITEM_0000390,ORD_018373,Biryani,1,30.37,30.37
ITEM_0000391,ORD_015062,Burger,1,59.27,59.27
ITEM_0000392,ORD_013392,Biryani,1,41.63,41.63
ITEM_0000393,ORD_020047,Biryani,1,41.0,41.0
ITEM_0000394,ORD_005363,Biryani,3,76.64,229.92000000000002
ITEM_0000395,ORD_020404,Wrap,2,32.54,65.08
ITEM_0000396,ORD_009943,Burger,2,63.26,126.52
ITEM_0000397,ORD_000539,Biryani,2,62.14,124.28
ITEM_0000398,ORD_000189,Burger,2,50.4,100.8
ITEM_0000399,ORD_003019,Biryani,2,59.05,118.1
ITEM_0000400,ORD_024123,Pizza,3,65.3,195.89999999999998
ITEM_0000401,ORD_017419,Biryani,3,48.27,144.81
ITEM_0000402,ORD_022254,Burger,2,63.68,127.36
ITEM_0000403,ORD_007051,Pizza,2,22.24,44.48
ITEM_0000404,ORD_015592,Pasta,1,50.7,50.7
ITEM_0000405,ORD_006272,Biryani,3,47.29,141.87
ITEM_0000406,ORD_000884,Salad,1,14.9,14.9
ITEM_0000407,ORD_013016,Burger,1,49.7,49.7
ITEM_0000408,ORD_012324,Pasta,1,10.92,10.92
ITEM_0000409,ORD_004883,Pasta,2,69.68,139.36
ITEM_0000410,ORD_018288,Salad,3,70.28,210.84
ITEM_0000411,ORD_003197,Pizza,3,26.57,79.71000000000001
ITEM_0000412,ORD_020366,Pasta,3,71.31,213.93
ITEM_0000413,ORD_002713,Wrap,3,30.52,91.56
ITEM_0000414,ORD_007540,Pasta,3,52.42,157.26
ITEM_0000415,ORD_005907,Biryani,3,15.79,47.37
ITEM_0000416,ORD_010869,Burger,1,72.55,72.55
ITEM_0000417,ORD_018196,Wrap,2,51.49,102.98
ITEM_0000418,ORD_017600,Burger,3,19.55,58.650000000000006
ITEM_0000419,ORD_006166,Burger,3,39.85,119.55000000000001
ITEM_0000420,ORD_003259,Pizza,2,35.16,70.32
ITEM_0000421,ORD_022384,Wrap,2,78.72,157.44
ITEM_0000422,ORD_000853,Burger,3,55.46,166.38
ITEM_0000423,ORD_018154,Salad,1,78.04,78.04
ITEM_0000424,ORD_004783,Burger,3,60.64,181.92000000000002
ITEM_0000425,ORD_016019,Pizza,3,62.3,186.89999999999998
ITEM_0000426,ORD_022593,Wrap,3,40.6,121.80000000000001
ITEM_0000427,ORD_000293,Salad,2,19.55,39.1
ITEM_0000428,ORD_006749,Pasta,1,35.08,35.08
ITEM_0000429,ORD_006005,Pizza,1,68.68,68.68
ITEM_0000430,ORD_012177,Burger,3,20.75,62.25
ITEM_0000431,ORD_001922,Pizza,1,18.32,18.32
ITEM_0000432,ORD_022148,Biryani,2,48.1,96.2
ITEM_0000433,ORD_008293,Burger,3,50.06,150.18
ITEM_0000434,ORD_012421,Pasta,1,54.79,54.79
ITEM_0000435,ORD_019835,Biryani,2,31.49,62.98
ITEM_0000436,ORD_021873,Salad,2,62.61,125.22
ITEM_0000437,ORD_015847,Salad,3,31.51,94.53
ITEM_0000438,ORD_019270,Pizza,2,19.66,39.32
ITEM_0000439,ORD_002943,Burger,2,45.89,91.78
ITEM_0000440,ORD_019726,Biryani,2,14.75,29.5
ITEM_0000441,ORD_015777,Pasta,1,52.86,52.86
ITEM_0000442,ORD_024094,Pasta,2,70.45,140.9
ITEM_0000443,ORD_018746,Pasta,1,65.35,65.35
ITEM_0000444,ORD_014109,Salad,1,73.56,73.56
ITEM_0000445,ORD_015175,Pasta,3,30.56,91.67999999999999
ITEM_0000446,ORD_011649,Biryani,1,74.48,74.48
ITEM_0000447,ORD_009316,Biryani,2,59.59,119.18
