order_id,customer_id,restaurant_id,order_datetime,order_status,gross_amount,discount_amount,delivery_fee,promo_code,payment_method,net_amount,cancellation_reason
ORD_000017,CUST_00318,REST_0118,2025-10-29 09:00:44.447894,Delivered,84.25,32.98,10,FREESHIP,Cash,51.27,
ORD_000018,CUST_09793,REST_0065,2025-11-08 22:40:49.447894,Delivered,83.75,31.1,15,,Card,52.65,
ORD_000019,CUST_00711,REST_0069,2025-12-25 13:21:58.447894,Delivered,344.02,45.12,0,FREESHIP,Card,298.9,
ORD_000020,CUST_08643,REST_0215,2025-10-07 16:03:48.447894,Delivered,156.96,44.17,5,SAVE10,Cash,112.79,
ORD_000021,CUST_01744,REST_0309,2025-11-10 14:27:45.447894,Delivered,487.96,4.76,0,,Card,483.2,
ORD_000022,CUST_01324,REST_0147,2025-10-10 07:40:36.447894,Delivered,141.4,10.09,15,FREESHIP,Cash,131.31,
ORD_000023,CUST_02681,REST_0066,2025-12-20 09:26:31.447894,Delivered,323.1,32.17,15,,Card,290.93,
ORD_000024,CUST_04238,REST_0176,2025-10-28 15:16:23.447894,Delivered,221.02,4.05,5,FREESHIP,Card,216.97,
ORD_000025,CUST_03052,REST_0066,2025-11-08 19:07:49.447894,Delivered,72.44,27.35,15,SAVE10,Card,45.089999999999996,
ORD_000026,CUST_04665,REST_0201,2025-10-20 06:20:37.447894,Cancelled,362.76,6.98,10,NEWUSER,Cash,355.78,Payment Failed
ORD_000027,CUST_02705,REST_0018,2025-12-16 10:52:53.447894,Delivered,401.5,47.28,5,SAVE10,Wallet,354.22,
ORD_000028,CUST_05676,REST_0336,2025-12-26 21:16:26.447894,In Progress,418.49,19.55,0,SAVE10,Card,398.94,
ORD_000029,CUST_06788,REST_0295,2025-11-10 22:33:53.447894,Delivered,260.29,11.6,5,,Card,248.69000000000003,
ORD_000030,CUST_02641,REST_0127,2025-11-09 17:43:51.447894,Delivered,488.67,37.79,0,SAVE10,Card,450.88,
ORD_000031,CUST_07377,REST_0201,2025-12-30 09:46:18.447894,Delivered,405.89,10.28,15,SAVE10,Card,395.61,
ORD_000032,CUST_08139,REST_0492,2025-12-07 02:08:26.447894,Delivered,236.86,42.79,0,NEWUSER,Wallet,194.07000000000002,
ORD_000033,CUST_05363,REST_0051,2025-10-18 05:17:37.447894,Delivered,76.75,41.33,5,FREESHIP,Card,35.42,
ORD_000034,CUST_00695,REST_0127,2025-12-28 11:35:06.447894,Delivered,149.56,12.74,10,,Card,136.82,
ORD_000035,CUST_04254,REST_0151,2025-12-16 14:24:43.447894,Delivered,392.91,16.62,10,FREESHIP,Card,376.29,
ORD_000036,CUST_08532,REST_0161,2025-10-11 03:06:50.447894,Delivered,443.44,1.69,10,NEWUSER,Wallet,441.75,
ORD_000037,CUST_01769,REST_0188,2025-12-25 03:26:32.447894,Delivered,341.34,14.95,5,,Wallet,326.39,
ORD_000038,CUST_08284,REST_0230,2025-11-07 01:55:31.447894,Delivered,212.32,8.17,5,FREESHIP,Card,204.15,
ORD_000039,CUST_00172,REST_0443,2025-11-24 18:08:12.447894,Delivered,197.31,1.78,15,NEWUSER,Cash,195.53,
ORD_000040,CUST_02750,REST_0098,2025-10-23 20:25:52.447894,Delivered,198.63,47.54,10,SAVE10,Wallet,151.09,
ORD_000041,CUST_03103,REST_0410,2025-12-03 01:28:55.447894,Cancelled,260.99,47.11,15,FREESHIP,Wallet,213.88,Item Unavailable
ORD_000042,CUST_00621,REST_0401,2025-11-25 01:30:39.447894,Cancelled,371.13,31.23,10,SAVE10,Wallet,339.9,Rider Unavailable
ORD_000043,CUST_05215,REST_0181,2025-11-12 17:59:35.447894,Delivered,106.68,23.18,0,SAVE10,Wallet,83.5,
ORD_000044,CUST_09181,REST_0334,2025-12-14 01:46:43.447894,In Progress,39.82,23.45,0,NEWUSER,Card,16.37,
ORD_000045,CUST_00077,REST_0205,2025-12-10 03:45:43.447894,Delivered,65.93,31.63,15,FREESHIP,Card,34.30000000000001,
ORD_000046,CUST_02199,REST_0470,2025-11-02 02:40:03.447894,Cancelled,342.95,12.32,5,FREESHIP,Card,330.63,Restaurant Busy
ORD_000047,CUST_04238,REST_0427,2025-10-13 02:49:29.447894,Delivered,428.89,34.36,15,SAVE10,Wallet,394.53,
ORD_000048,CUST_08423,REST_0304,2025-11-22 09:09:42.447894,Delivered,221.09,1.33,10,FREESHIP,Wallet,219.76,
ORD_000049,CUST_06028,REST_0082,2025-12-22 20:20:16.447894,Delivered,188.7,32.62,0,NEWUSER,Card,156.07999999999998,
ORD_000050,CUST_05856,REST_0404,2025-10-21 22:20:52.447894,Delivered,39.39,25.93,10,SAVE10,Wallet,13.46,
ORD_000051,CUST_02545,REST_0478,2025-10-30 19:58:22.447894,Delivered,58.62,34.77,5,FREESHIP,Card,23.849999999999994,
ORD_000052,CUST_02858,REST_0419,2025-12-14 01:10:44.447894,Delivered,384.73,30.63,5,SAVE10,Card,354.1,
ORD_000053,CUST_01554,REST_0033,2025-12-28 09:07:06.447894,Delivered,72.11,12.8,5,,Card,59.31,
ORD_000054,CUST_06275,REST_0238,2025-10-08 16:23:07.447894,Delivered,419.34,26.88,15,NEWUSER,Wallet,392.46,
ORD_000055,CUST_03741,REST_0081,2025-11-06 07:22:40.447894,Cancelled,397.11,33.01,10,NEWUSER,Wallet,364.1,Item Unavailable
ORD_000056,CUST_09154,REST_0355,2025-10-13 06:25:28.447894,Delivered,415.15,0.81,0,NEWUSER,Card,414.34,
ORD_000057,CUST_01628,REST_0460,2025-11-29 04:06:58.447894,Cancelled,352.39,48.41,5,FREESHIP,Card,303.98,Rider Unavailable
ORD_000058,CUST_01075,REST_0002,2025-10-10 22:23:02.447894,Delivered,39.89,18.8,10,SAVE10,Card,21.09,
ORD_000059,CUST_03205,REST_0418,2025-12-29 19:53:44.447894,Delivered,238.41,13.6,5,NEWUSER,Card,224.81,
ORD_000060,CUST_01029,REST_0332,2025-12-16 08:46:33.447894,Delivered,103.87,35.64,10,SAVE10,Cash,68.23,
ORD_000061,CUST_00648,REST_0090,2025-12-25 12:00:49.447894,Delivered,188.91,39.42,5,,Cash,149.49,
ORD_000062,CUST_05304,REST_0126,2026-01-05 03:42:18.447894,Cancelled,291.98,20.89,0,FREESHIP,Wallet,271.09000000000003,Customer Cancelled
ORD_000063,CUST_03163,REST_0416,2025-11-04 00:25:19.447894,In Progress,374.01,30.25,10,NEWUSER,Cash,343.76,
ORD_000064,CUST_00903,REST_0021,2025-10-10 18:52:59.447894,Delivered,139.12,13.21,10,,Card,125.91,
ORD_000065,CUST_04068,REST_0005,2025-10-18 16:29:36.447894,Delivered,187.37,35.12,15,,Card,152.25,
ORD_000066,CUST_09696,REST_0284,2025-12-17 07:52:07.447894,In Progress,128.68,24.87,0,NEWUSER,Wallet,103.81,
ORD_000067,CUST_05077,REST_0343,2025-12-18 23:19:30.447894,Delivered,492.59,6.97,15,,Cash,485.61999999999995,
ORD_000068,CUST_02898,REST_0304,2025-11-06 08:25:06.447894,Delivered,466.71,41.08,15,FREESHIP,Card,425.63,
ORD_000069,CUST_09538,REST_0352,2025-12-16 13:24:45.447894,Delivered,337.25,44.99,15,NEWUSER,Card,292.26,
ORD_000070,CUST_05563,REST_0197,2025-12-22 03:58:56.447894,Delivered,417.67,17.26,15,NEWUSER,Card,400.41,
ORD_000071,CUST_08174,REST_0254,2026-01-01 09:27:48.447894,Delivered,367.87,18.57,15,,Card,349.3,
ORD_000072,CUST_08682,REST_0355,2025-10-19 00:06:28.447894,Delivered,428.84,38.61,5,NEWUSER,Cash,390.22999999999996,
ORD_000073,CUST_05253,REST_0250,2025-10-17 08:36:47.447894,Delivered,469.91,42.81,10,NEWUSER,Card,427.1,
ORD_000074,CUST_07852,REST_0326,2025-12-20 07:39:02.447894,Delivered,467.31,26.24,10,FREESHIP,Cash,441.07,
ORD_000075,CUST_08618,REST_0083,2025-11-09 03:20:24.447894,Delivered,300.05,43.24,0,,Card,256.81,
ORD_000076,CUST_07229,REST_0236,2025-10-12 04:57:02.447894,Delivered,483.39,0.92,15,,Wallet,482.46999999999997,
ORD_000077,CUST_05682,REST_0168,2025-11-19 05:30:16.447894,Delivered,221.55,8.24,5,SAVE10,Card,213.31,
ORD_000078,CUST_05596,REST_0006,2025-12-30 22:41:25.447894,Cancelled,120.93,43.19,5,SAVE10,Wallet,77.74000000000001,Payment Failed
ORD_000079,CUST_07391,REST_0142,2025-12-18 20:05:54.447894,Delivered,138.79,33.6,10,,Cash,105.19,
ORD_000080,CUST_03992,REST_0375,2025-10-25 17:57:03.447894,Delivered,245.52,32.05,5,NEWUSER,Cash,213.47000000000003,
ORD_000081,CUST_09600,REST_0125,2026-01-05 07:58:36.447894,Delivered,148.97,32.78,10,NEWUSER,Card,116.19,
ORD_000082,CUST_06463,REST_0323,2025-10-17 05:32:30.447894,Delivered,89.74,5.54,15,SAVE10,Wallet,84.19999999999999,
ORD_000083,CUST_06369,REST_0395,2025-11-22 08:13:46.447894,Delivered,216.48,43.21,0,,Cash,173.26999999999998,
ORD_000084,CUST_08615,REST_0167,2025-12-12 01:13:39.447894,Delivered,303.18,4.89,0,,Card,298.29,
ORD_000085,CUST_09407,REST_0169,2025-11-13 00:53:50.447894,Cancelled,484.96,10.22,10,,Cash,474.73999999999995,Customer Cancelled
ORD_000086,CUST_03943,REST_0024,2025-10-12 16:09:28.447894,Delivered,321.66,36.93,15,FREESHIP,Wallet,284.73,
ORD_000087,CUST_01801,REST_0171,2025-11-11 02:01:56.447894,Delivered,393.74,11.97,5,,Card,381.77,
ORD_000088,CUST_02378,REST_0109,2025-12-09 21:28:52.447894,Delivered,350.63,40.2,0,NEWUSER,Card,310.43,
ORD_000089,CUST_07324,REST_0210,2025-11-13 11:52:28.447894,Delivered,210.8,36.32,5,NEWUSER,Wallet,174.48000000000002,
ORD_000090,CUST_02104,REST_0095,2025-11-03 13:22:39.447894,Delivered,118.87,37.11,10,SAVE10,Wallet,81.76,
ORD_000091,CUST_01272,REST_0202,2025-11-06 16:51:36.447894,Delivered,162.66,21.15,10,NEWUSER,Cash,141.51,
ORD_000092,CUST_05021,REST_0410,2025-10-11 23:12:25.447894,Delivered,441.97,27.95,0,SAVE10,Wallet,414.02000000000004,
ORD_000093,CUST_00435,REST_0285,2025-11-08 03:07:41.447894,In Progress,103.18,22.36,5,FREESHIP,Card,80.82000000000001,
ORD_000094,CUST_03599,REST_0002,2025-12-12 11:14:21.447894,Delivered,75.86,36.98,5,,Card,38.88,
ORD_000095,CUST_03772,REST_0286,2025-12-07 06:27:19.447894,Delivered,431.02,6.06,15,SAVE10,Wallet,424.96,
ORD_000096,CUST_08727,REST_0231,2025-12-15 08:27:03.447894,Cancelled,287.66,22.73,0,SAVE10,Card,264.93,Customer Cancelled
ORD_000097,CUST_08573,REST_0254,2025-10-11 00:06:20.447894,Delivered,350.78,39.59,10,,Card,311.18999999999994,
ORD_000098,CUST_02151,REST_0111,2025-10-16 03:36:41.447894,Delivered,418.14,11.02,0,SAVE10,Card,407.12,
ORD_000099,CUST_04125,REST_0074,2025-10-09 23:32:23.447894,Delivered,189.81,21.85,10,SAVE10,Wallet,167.96,
ORD_000100,CUST_05603,REST_0076,2025-11-12 05:37:31.447894,Delivered,382.56,14.55,10,,Card,368.01,
ORD_000101,CUST_05168,REST_0212,2025-11-07 02:28:36.447894,Delivered,326.56,22.37,10,NEWUSER,Card,304.19,
ORD_000102,CUST_05487,REST_0441,2025-11-09 12:38:12.447894,Delivered,41.66,2.52,5,NEWUSER,Card,39.13999999999999,
ORD_000103,CUST_04050,REST_0118,2025-10-22 10:46:21.447894,Delivered,368.56,23.76,15,FREESHIP,Card,344.8,
ORD_000104,CUST_00547,REST_0233,2025-12-22 18:21:09.447894,Delivered,191.82,20.33,10,FREESHIP,Card,171.49,
ORD_000105,CUST_04423,REST_0187,2025-12-20 21:18:30.447894,Delivered,127.75,46.88,5,SAVE10,Card,80.87,
ORD_000106,CUST_09944,REST_0275,2025-10-18 06:03:15.447894,Delivered,481.7,12.7,15,,Card,469.0,
ORD_000107,CUST_04825,REST_0310,2025-12-18 23:10:05.447894,Delivered,391.69,12.95,0,FREESHIP,Wallet,378.74,
ORD_000108,CUST_03116,REST_0454,2025-12-15 18:36:11.447894,Delivered,41.51,7.53,15,NEWUSER,Wallet,33.98,
ORD_000109,CUST_00219,REST_0376,2025-12-28 05:15:20.447894,Delivered,387.12,12.48,15,NEWUSER,Wallet,374.64,
ORD_000110,CUST_00126,REST_0151,2025-11-15 04:28:07.447894,Cancelled,429.67,47.17,10,FREESHIP,Wallet,382.5,Customer Cancelled
ORD_000111,CUST_09521,REST_0211,2025-11-13 15:46:40.447894,Cancelled,197.47,31.37,10,,Card,166.1,Restaurant Busy
ORD_000112,CUST_09416,REST_0351,2025-12-15 19:06:52.447894,Delivered,183.43,0.78,10,SAVE10,Wallet,182.65,
ORD_000113,CUST_04181,REST_0289,2026-01-03 06:28:19.447894,Cancelled,229.13,1.72,0,,Wallet,227.41,Item Unavailable
ORD_000114,CUST_05161,REST_0322,2025-10-15 16:33:48.447894,Delivered,249.13,1.35,5,,Wallet,247.78,
ORD_000115,CUST_02771,REST_0207,2025-10-29 13:51:22.447894,Delivered,208.88,12.65,15,SAVE10,Card,196.23,
ORD_000116,CUST_09767,REST_0395,2025-12-17 13:39:56.447894,Delivered,267.91,2.88,15,FREESHIP,Wallet,265.03000000000003,
ORD_000117,CUST_01943,REST_0090,2026-01-04 14:37:48.447894,Delivered,487.11,3.35,5,FREESHIP,Card,483.76,
ORD_000118,CUST_04458,REST_0146,2025-10-09 11:13:15.447894,Delivered,45.08,21.89,0,NEWUSER,Card,23.189999999999998,
ORD_000119,CUST_01255,REST_0065,2025-11-02 01:08:38.447894,Delivered,491.8,0.38,0,SAVE10,Card,491.42,
ORD_000120,CUST_00988,REST_0416,2025-10-30 07:32:54.447894,Delivered,429.23,0.82,10,NEWUSER,Wallet,428.41,
ORD_000121,CUST_07238,REST_0388,2025-12-08 15:40:20.447894,Delivered,404.75,30.99,5,FREESHIP,Card,373.76,
ORD_000122,CUST_08112,REST_0086,2025-12-04 04:53:32.447894,In Progress,241.64,34.88,5,FREESHIP,Card,206.76,
ORD_000123,CUST_07956,REST_0292,2025-12-20 17:19:43.447894,Delivered,65.29,48.24,10,SAVE10,Card,17.050000000000004,
ORD_000124,CUST_05354,REST_0477,2025-10-29 04:52:43.447894,Cancelled,320.84,24.19,15,FREESHIP,Card,296.65,Payment Failed
ORD_000125,CUST_09510,REST_0484,2025-12-06 00:55:45.447894,Delivered,450.3,28.41,0,NEWUSER,Card,421.89,
ORD_000126,CUST_01372,REST_0441,2025-10-15 03:13:30.447894,Delivered,229.77,29.63,15,NEWUSER,Card,200.14000000000001,
ORD_000127,CUST_00361,REST_0370,2025-10-19 05:52:21.447894,Delivered,62.57,37.41,15,FREESHIP,Wallet,25.160000000000004,
ORD_000128,CUST_08105,REST_0161,2025-12-02 21:51:56.447894,Cancelled,32.54,20.76,0,FREESHIP,Card,11.779999999999998,Rider Unavailable
ORD_000129,CUST_08550,REST_0231,2025-12-05 14:28:46.447894,Cancelled,86.12,49.25,5,,Card,36.870000000000005,Payment Failed
ORD_000130,CUST_07785,REST_0142,2025-12-13 23:23:48.447894,In Progress,314.79,24.95,5,NEWUSER,Cash,289.84000000000003,
ORD_000131,CUST_08089,REST_0432,2025-12-16 08:09:55.447894,Cancelled,495.73,6.38,15,NEWUSER,Card,489.35,Customer Cancelled
ORD_000132,CUST_07730,REST_0239,2025-11-04 05:55:03.447894,Delivered,364.69,37.38,15,SAVE10,Card,327.31,
ORD_000133,CUST_02784,REST_0293,2025-11-11 15:03:37.447894,Delivered,103.86,25.97,5,SAVE10,Card,77.89,
ORD_000134,CUST_00064,REST_0237,2025-12-12 23:01:09.447894,Delivered,435.45,32.5,15,FREESHIP,Wallet,402.95,
ORD_000135,CUST_02229,REST_0133,2025-10-17 17:58:49.447894,Delivered,340.32,25.7,10,SAVE10,Wallet,314.62,
ORD_000136,CUST_03850,REST_0306,2025-12-03 09:28:42.447894,Delivered,171.73,32.54,10,NEWUSER,Wallet,139.19,
ORD_000137,CUST_06333,REST_0189,2025-11-21 13:13:08.447894,Delivered,265.79,22.65,10,NEWUSER,Wallet,243.14000000000001,
ORD_000138,CUST_03939,REST_0214,2025-11-23 13:17:52.447894,Delivered,219.41,19.53,5,,Wallet,199.88,
ORD_000139,CUST_01516,REST_0325,2025-10-15 20:50:36.447894,Delivered,439.47,9.44,5,NEWUSER,Wallet,430.03000000000003,
ORD_000140,CUST_08772,REST_0357,2025-10-21 01:03:18.447894,Cancelled,478.06,16.59,0,,Card,461.47,Customer Cancelled
ORD_000141,CUST_06314,REST_0422,2025-11-06 15:43:05.447894,Delivered,88.13,1.88,5,,Card,86.25,
ORD_000142,CUST_07787,REST_0430,2025-10-14 05:48:28.447894,Delivered,99.3,24.8,10,NEWUSER,Wallet,74.5,
ORD_000143,CUST_02159,REST_0354,2025-11-28 21:36:10.447894,Delivered,68.76,21.53,0,NEWUSER,Wallet,47.230000000000004,
ORD_000144,CUST_02126,REST_0143,2025-11-16 16:26:52.447894,Delivered,208.61,5.78,10,NEWUSER,Card,202.83,
ORD_000145,CUST_06397,REST_0496,2025-10-19 09:11:14.447894,Delivered,486.4,28.11,0,NEWUSER,Cash,458.28999999999996,
ORD_000146,CUST_02284,REST_0293,2025-11-22 07:01:08.447894,In Progress,494.04,44.62,5,FREESHIP,Wallet,449.42,
ORD_000147,CUST_06237,REST_0283,2025-11-06 05:44:28.447894,Delivered,310.09,25.56,5,SAVE10,Wallet,284.53,
ORD_000148,CUST_07810,REST_0112,2025-10-15 07:01:13.447894,Delivered,247.85,2.44,15,FREESHIP,Cash,245.41,
ORD_000149,CUST_03106,REST_0257,2025-10-17 17:41:06.447894,Cancelled,172.12,20.79,10,FREESHIP,Wallet,151.33,Item Unavailable
ORD_000150,CUST_03553,REST_0413,2026-01-02 19:05:18.447894,Delivered,30.23,45.62,0,,Card,-15.389999999999997,
ORD_000151,CUST_03476,REST_0381,2025-12-29 00:48:07.447894,Delivered,153.54,47.62,5,NEWUSER,Card,105.91999999999999,
ORD_000152,CUST_01839,REST_0200,2025-10-23 11:26:52.447894,Delivered,98.76,42.3,10,NEWUSER,Wallet,56.46000000000001,
ORD_000153,CUST_08414,REST_0225,2025-11-22 02:25:05.447894,Delivered,30.93,21.55,15,NEWUSER,Wallet,9.379999999999999,
ORD_000154,CUST_08054,REST_0391,2025-12-17 09:20:27.447894,Cancelled,451.12,18.97,0,,Card,432.15,Customer Cancelled
ORD_000155,CUST_00896,REST_0285,2025-12-28 17:31:02.447894,In Progress,69.64,14.35,5,FREESHIP,Wallet,55.29,
ORD_000156,CUST_05610,REST_0159,2025-10-27 20:09:06.447894,Delivered,363.06,7.16,15,FREESHIP,Wallet,355.9,
ORD_000157,CUST_05914,REST_0294,2025-12-22 07:42:14.447894,Delivered,464.53,45.04,15,FREESHIP,Card,419.48999999999995,
ORD_000158,CUST_03412,REST_0008,2025-12-04 22:05:32.447894,Delivered,89.73,33.95,15,SAVE10,Card,55.78,
ORD_000159,CUST_03009,REST_0095,2025-10-12 11:33:56.447894,Delivered,143.03,41.09,0,SAVE10,Card,101.94,
ORD_000160,CUST_09177,REST_0165,2025-11-12 19:46:23.447894,Delivered,140.47,4.98,5,NEWUSER,Card,135.49,
ORD_000161,CUST_09825,REST_0443,2025-10-20 23:03:49.447894,Delivered,70.47,8.58,0,,Card,61.89,
ORD_000162,CUST_03671,REST_0207,2025-12-16 12:07:57.447894,Delivered,457.57,1.73,5,NEWUSER,Card,455.84,
ORD_000163,CUST_02891,REST_0182,2025-11-22 14:25:46.447894,Delivered,429.06,22.32,15,FREESHIP,Cash,406.74,
ORD_000164,CUST_06286,REST_0500,2025-11-01 12:26:45.447894,Delivered,208.96,21.75,15,,Wallet,187.21,
ORD_000165,CUST_01409,REST_0442,2025-12-15 16:14:32.447894,Delivered,391.64,41.67,10,NEWUSER,Wallet,349.96999999999997,
ORD_000166,CUST_03873,REST_0096,2025-12-11 19:11:45.447894,Delivered,269.42,1.47,0,FREESHIP,Card,267.95,
ORD_000167,CUST_04678,REST_0282,2025-11-16 13:21:39.447894,Delivered,349.17,25.84,10,NEWUSER,Card,323.33000000000004,
ORD_000168,CUST_09528,REST_0432,2025-12-15 09:44:44.447894,Delivered,353.9,37.05,15,SAVE10,Card,316.84999999999997,
ORD_000169,CUST_07447,REST_0113,2025-10-08 06:04:46.447894,Delivered,394.4,31.91,10,SAVE10,Cash,362.48999999999995,
ORD_000170,CUST_06490,REST_0267,2025-11-02 19:14:38.447894,Delivered,452.61,48.22,10,SAVE10,Card,404.39,
ORD_000171,CUST_03459,REST_0023,2025-10-14 16:31:42.447894,Delivered,400.87,44.01,10,,Card,356.86,
ORD_000172,CUST_04398,REST_0418,2025-12-16 18:27:41.447894,Cancelled,362.07,8.64,5,,Card,353.43,Rider Unavailable
ORD_000173,CUST_05884,REST_0289,2025-12-31 22:41:39.447894,Delivered,322.34,19.61,5,FREESHIP,Cash,302.72999999999996,
ORD_000174,CUST_08089,REST_0465,2025-11-13 15:06:02.447894,Delivered,128.27,37.34,5,,Card,90.93,
ORD_000175,CUST_07407,REST_0481,2025-11-25 20:18:43.447894,Delivered,163.07,21.07,5,FREESHIP,Card,142.0,
ORD_000176,CUST_03601,REST_0386,2025-10-13 02:25:05.447894,In Progress,65.42,21.14,0,FREESHIP,Wallet,44.28,
ORD_000177,CUST_07072,REST_0113,2025-11-23 03:24:47.447894,Delivered,151.16,10.64,0,NEWUSER,Card,140.51999999999998,
ORD_000178,CUST_05469,REST_0317,2025-12-05 12:37:55.447894,In Progress,285.65,8.3,0,SAVE10,Wallet,277.34999999999997,
ORD_000179,CUST_05008,REST_0132,2025-10-07 22:33:44.447894,Delivered,478.23,32.86,15,NEWUSER,Cash,445.37,
ORD_000180,CUST_09568,REST_0012,2025-12-04 06:28:48.447894,Cancelled,89.6,49.4,15,NEWUSER,Cash,40.199999999999996,Payment Failed
ORD_000181,CUST_06298,REST_0413,2025-10-29 13:29:19.447894,Delivered,238.11,46.4,5,,Wallet,191.71,
ORD_000182,CUST_09726,REST_0234,2025-10-25 14:31:58.447894,Delivered,382.89,43.33,5,,Card,339.56,
ORD_000183,CUST_04691,REST_0490,2025-10-12 05:30:49.447894,Cancelled,403.02,49.04,10,SAVE10,Cash,353.97999999999996,Payment Failed
ORD_000184,CUST_05687,REST_0239,2025-10-08 23:10:26.447894,In Progress,119.8,9.05,0,SAVE10,Wallet,110.75,
ORD_000185,CUST_03497,REST_0363,2025-10-31 13:45:40.447894,Delivered,113.81,21.62,10,FREESHIP,Wallet,92.19,
ORD_000186,CUST_03473,REST_0103,2025-11-11 12:15:31.447894,Cancelled,317.03,6.99,10,,Card,310.03999999999996,Rider Unavailable
ORD_000187,CUST_07227,REST_0170,2025-12-08 02:35:17.447894,Delivered,459.6,23.79,15,NEWUSER,Cash,435.81,
ORD_000188,CUST_09358,REST_0467,2025-12-28 01:29:42.447894,In Progress,408.05,4.28,15,SAVE10,Card,403.77000000000004,
ORD_000189,CUST_04562,REST_0185,2025-11-15 17:32:21.447894,Delivered,210.67,33.89,15,SAVE10,Card,176.77999999999997,
ORD_000190,CUST_07615,REST_0434,2025-10-11 16:58:54.447894,Delivered,339.43,22.28,5,,Card,317.15,
ORD_000191,CUST_02359,REST_0066,2025-12-05 14:38:01.447894,Delivered,149.77,43.62,5,NEWUSER,Card,106.15,
ORD_000192,CUST_08251,REST_0135,2025-11-07 12:53:37.447894,Cancelled,251.72,11.55,10,FREESHIP,Card,240.17,Rider Unavailable
ORD_000193,CUST_07258,REST_0125,2025-12-07 23:00:04.447894,Delivered,281.67,19.7,5,,Card,261.97,
ORD_000194,CUST_06214,REST_0057,2025-10-12 03:49:52.447894,In Progress,329.74,0.07,0,SAVE10,Card,329.67,
ORD_000195,CUST_08377,REST_0302,2025-11-27 17:23:55.447894,Delivered,218.17,23.3,5,NEWUSER,Card,194.86999999999998,
ORD_000196,CUST_07606,REST_0278,2025-12-17 20:03:00.447894,Delivered,45.05,4.16,0,SAVE10,Card,40.89,
ORD_000197,CUST_02620,REST_0395,2025-12-25 11:00:05.447894,Delivered,466.19,46.6,0,,Wallet,419.59,
ORD_000198,CUST_09873,REST_0417,2026-01-01 10:42:38.447894,Delivered,479.43,47.58,15,,Wallet,431.85,
ORD_000199,CUST_00578,REST_0182,2026-01-03 10:24:39.447894,Delivered,352.89,27.71,10,NEWUSER,Card,325.18,
ORD_000200,CUST_05244,REST_0148,2025-12-23 12:26:05.447894,Delivered,155.19,21.85,0,,Wallet,133.34,
ORD_000201,CUST_08263,REST_0261,2025-11-04 17:07:01.447894,Delivered,309.53,23.78,15,,Wallet,285.75,
ORD_000202,CUST_00556,REST_0324,2025-10-24 09:52:40.447894,Delivered,159.77,17.34,5,FREESHIP,Card,142.43,
ORD_000203,CUST_00852,REST_0014,2025-11-09 04:16:56.447894,Delivered,358.45,21.85,10,FREESHIP,Card,336.59999999999997,
ORD_000204,CUST_09411,REST_0387,2025-11-18 00:25:05.447894,In Progress,199.33,25.06,10,,Wallet,174.27,
ORD_000205,CUST_03641,REST_0114,2025-11-06 23:55:37.447894,Delivered,292.0,48.12,15,SAVE10,Card,243.88,
ORD_000206,CUST_01913,REST_0466,2025-10-09 22:48:03.447894,Cancelled,57.7,20.02,15,NEWUSER,Cash,37.68000000000001,Item Unavailable
